                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3233,                 4.6272,                 4.2167,                      0,                      0,                      0,                      0,                 4.5456,                 4.5821,                 4.1589,                  2e-05,                  2e-05,                  2e-05
                      2,                 4.7009,                 4.7138,                 4.2119,                      0,                      0,                      0,                      0,                 4.5456,                 4.5791,                 4.1589,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      3,                  4.657,                 4.9049,                 4.1856,                      0,                      0,                      0,                      0,                 4.5447,                 4.5795,                 4.1587,              9.934e-05,              9.934e-05,              9.934e-05
                      4,                 4.4924,                  4.619,                  4.184,                      0,                      0,                      0,                      0,                 4.5446,                 4.5793,                 4.1578,             0.00013861,             0.00013861,             0.00013861
                      5,                 4.3254,                 4.6914,                 4.1976,                      0,                      0,                      0,                      0,                 4.5383,                 4.5742,                 4.1565,             0.00017762,             0.00017762,             0.00017762
                      6,                 4.4093,                  4.592,                 4.1667,                      0,                      0,                      0,                      0,                 4.5345,                 4.5766,                 4.1553,             0.00021637,             0.00021637,             0.00021637
                      7,                  4.263,                 4.3232,                 4.1661,                0.00027,                0.07692,                0.00015,                  2e-05,                 4.5342,                 4.5757,                  4.154,             0.00025485,             0.00025485,             0.00025485
                      8,                 4.2154,                  4.599,                  4.142,                0.00013,                0.03846,                  8e-05,                  1e-05,                 4.5331,                 4.5689,                 4.1525,             0.00029307,             0.00029307,             0.00029307
                      9,                 3.9339,                 4.2446,                 4.1014,                0.00013,                0.03846,                  8e-05,                  1e-05,                  4.534,                 4.5684,                 4.1514,             0.00033102,             0.00033102,             0.00033102
                     10,                 4.0043,                 4.2511,                 4.1443,                0.00027,                0.07692,                0.00015,                  2e-05,                 4.5346,                 4.5645,                 4.1514,             0.00036871,             0.00036871,             0.00036871
                     11,                 3.8792,                 4.1435,                 4.0622,                0.00026,                0.07692,                0.00015,                  1e-05,                 4.5331,                 4.5633,                 4.1498,             0.00040614,             0.00040614,             0.00040614
                     12,                 4.1085,                 4.2216,                 4.0184,                0.00013,                0.03846,                  8e-05,                  1e-05,                 4.5266,                 4.5604,                 4.1482,              0.0004433,              0.0004433,              0.0004433
                     13,                 3.7604,                 4.2838,                   4.07,                0.00013,                0.03846,                  8e-05,                  1e-05,                 4.5202,                 4.5601,                  4.146,              0.0004802,              0.0004802,              0.0004802
